card,issuedate,activationdate,firstuseddate
"111,345",2020-02-16 00:43:02,2020-02-26 21:49:52,2020-04-16 16:42:05
"113,905",2020-03-09 17:16:34,2020-04-03 00:27:46,2020-04-21 13:38:52
"114,139",2020-03-11 12:18:22,2020-03-26 18:36:43,2020-05-31 16:09:13
"114,523",2020-03-22 02:21:35,2020-04-06 11:15:28,2020-07-17 21:45:08
"110,192",2020-03-26 21:41:06,2020-04-16 15:22:45,2020-05-09 16:20:16
"111,836",2020-03-22 21:22:51,2020-04-01 15:56:33,2020-04-23 13:49:06
"115,609",2020-04-15 15:40:34,2020-04-29 11:14:49,2020-06-23 15:22:26
"110,866",2020-01-15 21:02:51,2020-01-25 18:41:37,2020-07-18 18:07:57
"114,317",2020-03-22 02:52:34,2020-06-01 19:09:09,2020-06-29 15:18:22
"112,660",2020-02-16 01:05:03,2020-03-11 19:12:01,2020-04-27 02:31:22
"113,256",2020-03-18 20:03:13,2020-03-25 20:02:59,2020-05-31 05:21:36
"113,540",2020-03-16 22:19:25,2020-03-26 21:59:15,2020-04-23 14:00:25
"114,396",2020-03-18 21:07:47,2020-03-24 12:05:59,2020-05-02 16:29:54
"116,904",2020-04-14 15:40:31,2020-04-28 23:05:12,2020-05-20 16:58:18
"111,498",2020-01-27 21:31:24,2020-02-06 11:23:19,2020-05-09 02:02:59
"116,490",2020-04-20 18:40:35,2020-05-05 17:29:51,2020-09-06 18:58:30
"110,398",2020-01-24 17:32:35,2020-02-08 16:03:46,2020-03-10 12:21:29
"111,150",2020-03-25 21:19:13,2020-03-30 19:40:41,2020-05-16 15:25:47
"113,062",2020-02-26 07:55:00,2020-03-03 17:22:36,2020-07-16 20:33:34
"116,536",2020-04-20 18:40:32,2020-05-07 17:09:40,2020-06-09 21:31:38
"115,429",2020-03-31 19:40:34,2020-04-08 21:22:35,2020-04-21 16:23:53
"112,227",2020-03-22 03:22:26,2020-03-30 20:34:08,2020-05-20 22:30:57
"113,170",2020-02-26 19:49:17,2020-03-04 10:14:31,2020-06-11 11:08:16
"114,669",2020-03-18 16:38:52,2020-03-25 16:29:49,2020-04-10 12:29:02
"114,253",2020-03-12 19:58:35,2020-03-18 11:11:02,2020-05-29 10:21:24
"110,944",2020-01-20 14:26:18,2020-01-27 16:15:29,2020-02-11 16:56:49
"111,111",2020-01-21 21:37:20,2020-01-30 15:57:45,2020-03-11 16:19:45
"113,859",2020-04-07 20:41:31,2020-04-27 15:40:42,2020-08-13 22:50:40
"115,188",2020-03-25 21:01:08,2020-04-02 13:50:02,2020-04-26 21:05:27
